trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
10410762,6/30/2016 9:23,6/30/2016 9:29,5736,370,174,Canal St & Madison St,38,Clark St & Lake St,Subscriber,Male,1982
10410638,6/30/2016 9:15,6/30/2016 9:26,1218,666,77,Clinton St & Madison St,111,Sedgwick St & Huron St,Subscriber,Female,1989
10410519,6/30/2016 9:09,6/30/2016 9:13,2275,263,183,Damen Ave & Augusta Blvd,69,Damen Ave & Pierce Ave,Subscriber,Male,1989
10410367,6/30/2016 9:03,6/30/2016 9:20,41,1007,117,Wilton Ave & Belmont Ave,330,Lincoln Ave & Addison St,Customer,,
10410211,6/30/2016 8:58,6/30/2016 9:06,2728,459,198,Green St & Madison St,100,Orleans St & Merchandise Mart Plaza,Subscriber,Female,1963
10410076,6/30/2016 8:52,6/30/2016 9:07,4103,863,35,Streeter Dr & Grand Ave,33,State St & Van Buren St,Subscriber,Male,1989
10409954,6/30/2016 8:48,6/30/2016 8:54,5822,366,493,Western Ave & Roscoe St,230,Lincoln Ave & Roscoe St,Subscriber,Male,1977
10409828,6/30/2016 8:44,6/30/2016 8:55,4959,664,133,Kingsbury St & Kinzie St,331,Halsted St & Blackhawk St (*),Subscriber,Male,1990
10409695,6/30/2016 8:40,6/30/2016 8:46,5550,334,199,Wabash Ave & Grand Ave,106,State St & Pearson St,Customer,,
10409574,6/30/2016 8:36,6/30/2016 8:38,3815,158,281,Western Ave & 24th St,203,Western Ave & 21st St,Subscriber,Male,1988
10409460,6/30/2016 8:32,6/30/2016 8:49,3988,1001,289,Wells St & Concord Ln,77,Clinton St & Madison St,Subscriber,Male,1984
10409347,6/30/2016 8:27,6/30/2016 8:41,5523,801,110,Dearborn St & Erie St,91,Clinton St & Washington Blvd,Subscriber,Male,1983
10409237,6/30/2016 8:23,6/30/2016 8:28,5732,295,46,Wells St & Walton St,212,Orleans St & Ohio St,Subscriber,Female,1963
10409104,6/30/2016 8:19,6/30/2016 8:22,3938,184,326,Clark St & Leland Ave,293,Broadway & Wilson Ave,Subscriber,Male,1985
10408987,6/30/2016 8:15,6/30/2016 8:37,1560,1287,374,Western Ave & Walton St,174,Canal St & Madison St,Subscriber,Male,1981
