trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
9073624,3/31/2016 10:49,3/31/2016 11:15,1652,1577,9490,Troy St & Elston Ave,9216,California Ave & Division St,Subscriber,Male,1983
9073601,3/31/2016 10:47,3/31/2016 11:03,659,963,9192,Canal St & Adams St,9024,Fairbanks Ct & Grand Ave,Subscriber,Male,1964
9073583,3/31/2016 10:45,3/31/2016 10:49,606,254,9345,Lake Park Ave & 56th St,9423,University Ave & 57th St,Subscriber,Male,1982
9073564,3/31/2016 10:41,3/31/2016 10:57,3220,936,9333,Ashland Ave & Blackhawk St,9181,LaSalle St & Illinois St,Subscriber,Male,1990
9073547,3/31/2016 10:39,3/31/2016 10:53,2866,838,9132,Wentworth Ave & 24th St,9148,State St & 33rd St,Subscriber,Male,1949
9073522,3/31/2016 10:36,3/31/2016 10:40,4633,255,9100,Orleans St & Merchandise Mart Plaza,9066,Clinton St & Lake St,Subscriber,Male,1972
9073501,3/31/2016 10:33,3/31/2016 10:49,1175,997,9210,Ashland Ave & Division St,9066,Clinton St & Lake St,Customer,,
9073486,3/31/2016 10:31,3/31/2016 10:38,4583,396,9463,Clark St & Berwyn Ave,9344,Ravenswood Ave & Lawrence Ave,Subscriber,Female,1947
9073467,3/31/2016 10:29,3/31/2016 10:38,1906,526,9037,Dearborn St & Adams St,9337,Clark St & Chicago Ave,Subscriber,Male,1984
9073444,3/31/2016 10:27,3/31/2016 10:31,464,226,9287,Franklin St & Monroe St,9051,Clark St & Randolph St,Subscriber,Male,1967
9073428,3/31/2016 10:25,3/31/2016 10:27,472,140,9050,Clark St & Congress Pkwy,9394,Clark St & 9th St (AMLI),Subscriber,Male,1987
9073414,3/31/2016 10:23,3/31/2016 10:32,3152,557,9021,Aberdeen St & Jackson Blvd,9346,Ada St & Washington Blvd,Subscriber,Male,1965
9073392,3/31/2016 10:17,3/31/2016 10:22,3478,302,9346,Ada St & Washington Blvd,9233,Sangamon St & Washington Blvd (*),Subscriber,Female,1985
9073377,3/31/2016 10:13,3/31/2016 10:16,2410,187,9066,Clinton St & Lake St,9100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1985
9073366,3/31/2016 10:11,3/31/2016 10:18,300,402,9287,Franklin St & Monroe St,9133,Kingsbury St & Kinzie St,Subscriber,Female,1988
9073355,3/31/2016 10:07,3/31/2016 10:21,4682,863,9080,Aberdeen St & Monroe St,9199,Wabash Ave & Grand Ave,Subscriber,Male,1961
9073340,3/31/2016 10:05,3/31/2016 10:10,1920,296,9080,Aberdeen St & Monroe St,9146,Loomis St & Jackson Blvd,Subscriber,Male,1999
9073319,3/31/2016 10:02,3/31/2016 10:16,2859,822,9077,Clinton St & Madison St,9383,Ashland Ave & Harrison St,Subscriber,Female,1957
9073300,3/31/2016 9:59,3/31/2016 10:20,3279,1250,9167,Damen Ave & Coulter St,9279,Halsted St & 35th St (*),Customer,,
9073282,3/31/2016 9:57,3/31/2016 10:01,4661,246,9165,Clark St & Grace St,9304,Broadway & Waveland Ave,Subscriber,Male,1972
9073262,3/31/2016 9:53,3/31/2016 10:01,2880,461,9141,Clark St & Lincoln Ave,9113,Bissell St & Armitage Ave,Subscriber,Female,1991
9073251,3/31/2016 9:51,3/31/2016 9:54,523,124,9183,Damen Ave & Augusta Blvd,9128,Damen Ave & Chicago Ave,Subscriber,Male,1977
9073240,3/31/2016 9:49,3/31/2016 10:10,1140,1262,9168,Michigan Ave & 14th St,9047,State St & Kinzie St,Subscriber,Male,1969
9073229,3/31/2016 9:45,3/31/2016 9:52,2162,431,9032,Racine Ave & Congress Pkwy,9134,Peoria St & Jackson Blvd,Subscriber,Female,1957
9073205,3/31/2016 9:40,3/31/2016 9:56,4583,938,9299,Halsted St & Roscoe St,9463,Clark St & Berwyn Ave,Subscriber,Male,1981
9073192,3/31/2016 9:39,3/31/2016 10:00,4743,1276,9091,Clinton St & Washington Blvd,9143,Sedgwick St & Webster Ave,Subscriber,Male,1950
9073175,3/31/2016 9:37,3/31/2016 9:42,3980,329,9056,Desplaines St & Kinzie St,9212,Orleans St & Ohio St,Subscriber,Male,1984
9073146,3/31/2016 9:31,3/31/2016 9:45,1115,849,9129,Blue Island Ave & 18th St,9287,Franklin St & Monroe St,Subscriber,Male,1979
9073132,3/31/2016 9:26,3/31/2016 10:55,3865,5374,9090,Millennium Park,9044,State St & Randolph St,Subscriber,Male,1962
9073122,3/31/2016 9:21,3/31/2016 11:58,4774,9406,9255,Indiana Ave & Roosevelt Rd,9035,Streeter Dr & Grand Ave,Customer,,
9073107,3/31/2016 9:18,3/31/2016 9:22,4039,244,9370,Calumet Ave & 21st St,9042,Wabash Ave & Cermak Rd,Subscriber,Female,1977
9073089,3/31/2016 9:13,3/31/2016 9:15,1954,125,9225,Halsted St & Dickens Ave,9113,Bissell St & Armitage Ave,Subscriber,Male,1987
9073058,3/31/2016 9:08,3/31/2016 9:14,252,361,9193,State St & 29th St,9184,State St & 35th St,Subscriber,Female,1988
9073040,3/31/2016 9:06,3/31/2016 9:19,882,800,9138,Clybourn Ave & Division St,9091,Clinton St & Washington Blvd,Subscriber,Male,1972
9073026,3/31/2016 9:04,3/31/2016 9:09,3235,302,9099,Lake Shore Dr & Ohio St,9173,Mies van der Rohe Way & Chicago Ave,Subscriber,Female,1956
9073013,3/31/2016 9:03,3/31/2016 9:09,1992,325,9286,Franklin St & Quincy St,9038,Clark St & Lake St,Subscriber,Male,1981
9072995,3/31/2016 9:02,3/31/2016 9:13,386,680,9091,Clinton St & Washington Blvd,9046,Wells St & Walton St,Subscriber,Male,1965
